id,stateName,senator1,senator1Twitter,senator2,senator2Twitter,allCount,allShare,AllShareOfTotal,age20UpCount,age20UpShare,age20UpShareOfTotal,ageTeenagerCount,ageTeenagerShare,ageTeenagerShareOfTotal,age16To24Count,age16To24Share,age16To24ShareOfTotal,age25To39Count,age25To39Share,age25To39ShareOfTotal,age40To54Count,age40To54Share,age40To54ShareOfTotal,age55UpCount,age55UpShare,age55UpShareOfTotal,blackOrHispanicCount,blackOrHispanicShare,blackOrHispanicShareOfTotal,blackOrHispanicMenCount,blackOrHispanicMenShare,blackOrHispanicMenShareOfTotal,blackOrHispanicWomenCount,blackOrHispanicWomenShare,blackOrHispanicWomenShareOfTotal,marriedParentsCount,marriedParentsShare,marriedParentsShareOfTotal,singleParentsCount,singleParentsShare,singleParentsShareOfTotal,dadsCount,dadsShare,dadsShareOfTotal,momsCount,momsShare,momsShareOfTotal,menCount,menShare,menShareOfTotal,menOfColorCount,menOfColorShare,menOfColorShareOfTotal,womenOfColorCount,womenOfColorShare,womenOfColorShareOfTotal,poorCount,poorShare,poorShareOfTotal,povertyCount,povertyShare,povertyShareOfTotal,otherRaceCount,otherRaceShare,otherRaceShareOfTotal,blackCount,blackShare,blackShareOfTotal,hispanicCount,hispanicShare,hispanicShareOfTotal,whiteCount,whiteShare,whiteShareOfTotal,womenCount,womenShare,womenShareOfTotal
RI,Rhode Island,Sheldon Whitehouse (D),@SenWhitehouse,Jack Reed (D),@SenJackReed,"142,000",0.275,1.000,"127,000",0.256,0.893,"15,000",0.717,0.107,"51,000",0.673,0.361,"45,000",0.280,0.317,"25,000",0.153,0.174,"21,000",0.179,0.148,"46,000",0.440,0.324,"20,000",0.371,0.141,"26,000",0.515,0.183,"17,000",0.150,0.122,"18,000",0.392,0.127,"9,000",0.123,0.065,"26,000",0.302,0.185,"58,000",0.226,0.410,"24,000",0.337,0.171,"32,000",0.480,0.229,"34,000",0.589,0.240,"20,000",0.704,0.142,"11,000",0.305,0.076,"11,000",0.375,0.075,"35,000",0.464,0.249,"85,000",0.226,0.600,"84,000",0.324,0.590
SC,South Carolina,Lindsey Graham (R),@LindseyGrahamSC,Tim Scott (R),@SenatorTimScott,"736,000",0.345,1.000,"675,000",0.328,0.918,"61,000",0.801,0.082,"226,000",0.773,0.307,"260,000",0.368,0.353,"141,000",0.206,0.191,"109,000",0.242,0.148,"357,000",0.500,0.485,"154,000",0.455,0.209,"202,000",0.540,0.274,"88,000",0.179,0.120,"112,000",0.513,0.153,"56,000",0.168,0.076,"145,000",0.382,0.197,"303,000",0.283,0.411,"167,000",0.443,0.227,"219,000",0.530,0.298,"236,000",0.648,0.321,"144,000",0.836,0.196,"29,000",0.389,0.040,"283,000",0.487,0.385,"74,000",0.556,0.100,"350,000",0.261,0.475,"433,000",0.407,0.589
SD,South Dakota,Mike Rounds (R),@SenatorRounds,John Thune (R),@SenJohnThune,"142,000",0.344,1.000,"125,000",0.319,0.880,"17,000",0.813,0.120,"51,000",0.773,0.358,"43,000",0.329,0.301,"21,000",0.181,0.150,"27,000",0.273,0.191,"13,000",0.577,0.092,"7,000",0.511,0.049,*,*,*,"19,000",0.178,0.134,"18,000",0.485,0.127,"10,000",0.143,0.068,"27,000",0.359,0.192,"57,000",0.273,0.400,"16,000",0.496,0.110,"17,000",0.610,0.117,"41,000",0.672,0.286,"23,000",0.807,0.159,"20,000",0.533,0.140,*,*,*,"8,000",0.544,0.055,"110,000",0.310,0.772,"85,000",0.416,0.600
TN,Tennessee,Marsha Blackburn (R),@MarshaBlackburn,Lamar Alexander (R),@SenAlexander,"1,069,000",0.365,1.000,"983,000",0.349,0.919,"87,000",0.796,0.081,"324,000",0.792,0.303,"376,000",0.390,0.351,"212,000",0.225,0.198,"158,000",0.258,0.148,"347,000",0.517,0.325,"167,000",0.500,0.156,"180,000",0.535,0.168,"167,000",0.231,0.156,"149,000",0.537,0.140,"99,000",0.203,0.092,"218,000",0.423,0.204,"453,000",0.304,0.424,"185,000",0.472,0.173,"206,000",0.524,0.193,"338,000",0.700,0.316,"190,000",0.845,0.178,"44,000",0.385,0.041,"242,000",0.480,0.226,"105,000",0.632,0.099,"678,000",0.317,0.634,"616,000",0.429,0.576
TX,Texas,Ted Cruz (R),@SenTedCruz,John Cornyn (R),@JohnCornyn,"4,712,000",0.358,1.000,"4,278,000",0.337,0.908,"434,000",0.933,0.092,"1,505,000",0.814,0.319,"1,662,000",0.353,0.353,"955,000",0.228,0.203,"590,000",0.244,0.125,"3,304,000",0.480,0.701,"1,533,000",0.413,0.325,"1,770,000",0.560,0.376,"867,000",0.235,0.184,"692,000",0.512,0.147,"514,000",0.198,0.109,"1,045,000",0.427,0.222,"2,078,000",0.295,0.441,"1,625,000",0.387,0.345,"1,912,000",0.534,0.406,"1,530,000",0.675,0.325,"906,000",0.861,0.192,"234,000",0.258,0.050,"595,000",0.391,0.126,"2,709,000",0.506,0.575,"1,175,000",0.219,0.249,"2,634,000",0.431,0.559
UT,Utah,Mitt Romney (R),@MittRomney,Mike Lee (R),@SenMikeLee,"488,000",0.358,1.000,"412,000",0.321,0.844,"76,000",0.929,0.156,"227,000",0.827,0.466,"148,000",0.295,0.303,"67,000",0.181,0.137,"46,000",0.207,0.094,"124,000",0.545,0.254,"60,000",0.455,0.123,"65,000",0.667,0.133,"91,000",0.203,0.187,"42,000",0.445,0.086,"38,000",0.122,0.077,"96,000",0.406,0.196,"208,000",0.276,0.426,"74,000",0.414,0.152,"85,000",0.612,0.175,"123,000",0.597,0.253,"80,000",0.844,0.163,"35,000",0.389,0.072,"7,000",0.453,0.014,"118,000",0.551,0.241,"328,000",0.314,0.673,"280,000",0.458,0.574
VT,Vermont,Bernie Sanders (I),@BernieSanders,Patrick Leahy (D),@SenatorLeahy,"87,000",0.289,1.000,"77,000",0.269,0.888,"10,000",0.728,0.112,"33,000",0.727,0.376,"24,000",0.284,0.274,"14,000",0.156,0.166,"16,000",0.202,0.184,"4,000",0.378,0.046,*,*,*,*,*,*,"10,000",0.149,0.114,"8,000",0.377,0.092,"5,000",0.131,0.063,"13,000",0.273,0.143,"36,000",0.247,0.418,"4,000",0.389,0.045,"5,000",0.459,0.055,"22,000",0.636,0.252,"12,000",0.789,0.139,"5,000",0.464,0.058,*,*,*,*,*,*,"79,000",0.279,0.901,"51,000",0.329,0.582
VA,Virginia,Tim Kaine (D),@timkaine,Mark Warner (D),@MarkWarner,"1,187,000",0.294,1.000,"1,084,000",0.278,0.913,"103,000",0.763,0.087,"372,000",0.728,0.313,"396,000",0.297,0.333,"237,000",0.179,0.200,"183,000",0.210,0.154,"508,000",0.427,0.428,"220,000",0.374,0.185,"288,000",0.479,0.243,"172,000",0.165,0.144,"150,000",0.457,0.126,"92,000",0.137,0.078,"229,000",0.330,0.193,"483,000",0.235,0.407,"261,000",0.328,0.220,"355,000",0.441,0.299,"305,000",0.671,0.257,"166,000",0.806,0.140,"108,000",0.261,0.091,"315,000",0.411,0.266,"193,000",0.456,0.163,"571,000",0.235,0.481,"704,000",0.356,0.593
WA,Washington,Maria Cantwell (D),@SenatorCantwell,Patty Murray (D),@MurrayCampaign,"513,000",0.154,1.000,"450,000",0.139,0.877,"63,000",0.590,0.123,"206,000",0.474,0.401,"168,000",0.143,0.327,"80,000",0.076,0.155,"60,000",0.087,0.116,"164,000",0.295,0.320,"82,000",0.257,0.160,"82,000",0.346,0.160,"85,000",0.097,0.166,"65,000",0.243,0.127,"48,000",0.079,0.094,"102,000",0.190,0.200,"216,000",0.122,0.421,"106,000",0.181,0.206,"118,000",0.239,0.230,"156,000",0.367,0.304,"100,000",0.515,0.195,"60,000",0.115,0.117,"16,000",0.133,0.031,"148,000",0.340,0.288,"289,000",0.128,0.564,"297,000",0.190,0.579
WV,West Virginia,Joe Manchin (D),@Sen_JoeManchin,Shelley Moore Capito (R),@SenCapito,"255,000",0.355,1.000,"237,000",0.340,0.929,"18,000",0.786,0.071,"71,000",0.757,0.279,"82,000",0.372,0.323,"56,000",0.235,0.219,"45,000",0.274,0.179,"19,000",0.502,0.075,"9,000",0.451,0.035,"10,000",0.560,0.039,"37,000",0.212,0.146,"33,000",0.505,0.131,"20,000",0.162,0.077,"51,000",0.424,0.200,"101,000",0.269,0.397,"12,000",0.408,0.048,"14,000",0.517,0.054,"76,000",0.682,0.298,"45,000",0.842,0.177,"7,000",0.367,0.026,"13,000",0.515,0.053,"6,000",0.474,0.023,"229,000",0.346,0.898,"154,000",0.449,0.603
WI,Wisconsin,Tammy Baldwin (D),@SenatorBaldwin,Ron Johnson (R),@SenRonJohnson,"909,000",0.321,1.000,"778,000",0.289,0.856,"131,000",0.941,0.144,"364,000",0.822,0.400,"263,000",0.300,0.289,"144,000",0.161,0.159,"138,000",0.225,0.152,"186,000",0.558,0.205,"86,000",0.514,0.095,"100,000",0.602,0.110,"113,000",0.160,0.125,"112,000",0.449,0.123,"59,000",0.127,0.065,"166,000",0.335,0.183,"362,000",0.253,0.399,"111,000",0.457,0.122,"135,000",0.562,0.148,"243,000",0.671,0.268,"162,000",0.871,0.179,"60,000",0.400,0.065,"75,000",0.518,0.083,"111,000",0.588,0.122,"663,000",0.282,0.730,"547,000",0.390,0.601
WY,Wyoming,John Barrasso (R),@SenJohnBarrasso,Mike Enzi (R),@SenatorEnzi,"88,000",0.318,1.000,"77,000",0.291,0.875,"11,000",0.922,0.125,"33,000",0.804,0.378,"29,000",0.306,0.323,"14,000",0.173,0.157,"13,000",0.199,0.142,"16,000",0.496,0.182,"7,000",0.377,0.080,"10,000",0.637,0.114,"15,000",0.207,0.172,"9,000",0.407,0.102,"6,000",0.114,0.064,"19,000",0.400,0.210,"33,000",0.221,0.373,"9,000",0.361,0.098,"13,000",0.596,0.151,"24,000",0.650,0.273,"17,000",0.877,0.192,"6,000",0.420,0.064,*,*,*,"15,000",0.512,0.175,"66,000",0.286,0.750,"56,000",0.430,0.627
US,United States,,,,," 	39,673,000 ",0.266,1.000," 	35,970,000 ",0.250,0.907," 	3,702,000 ",0.710,0.093," 	12,886,000 ",0.634,0.325," 	13,336,000 ",0.265,0.336," 	7,643,000 ",0.160,0.193," 	5,807,000 ",0.187,0.146,,,,,0.398,,,0.488,," 	5,887,000 ",0.156,0.148," 	5,355,000 ",0.389,0.135,,0.147,,,0.336,," 	16,716,000 ",0.217,0.421," 	8,626,000 ",0.279,40.498," 	10,346,000 ",0.356,23.094,,,,,,," 	2,689,000 ",0.196,0.068," 	6,700,000 ",0.381,0.169," 	9,583,000 ",0.334,0.242," 	20,701,000 ",0.232,0.522," 	22,957,000 ",0.317,0.579
